السؤال,الجواب,الكلمة المفتاحية,التصنيف
ماذا يحدث إذا اتفق طالب مع آخر لأداء الامتحان نيابة عنه؟,يعاقب الطالب الذي يتفق مع آخر لأداء الامتحان نيابة عنه وفقاً للعقوبات المحددة في نظام الجامعة ,الغش في الامتحانات,تعليم
ماذا يحدث إذا اجتاز الطالب امتحان اللغة بعد فترة السحب والإضافة؟,إذا اجتاز الطالب امتحان اللغة بعد انقضاء فترة السحب والإضافة يعفى من حضور محاضرات البرنامج التأهيلي وتقديم الامتحانات، وتُرصد له علامة الامتحان الوطني بدلاً عن علامة البرنامج التأهيلي ,اجتياز امتحان اللغة,القبول
ماذا يحدث إذا ارتكب الطالب مخالفة تأديبية تتعلق بالجريمة الجزائية؟,إذا كانت المخالفة تتعلق بجريمة جزائية، يتم إحالة الطالب إلى الجهات القضائية المختصة ,المخالفة الجزائية,تعليم
ماذا يحدث إذا انسحب الطالب بعد بدء الامتحانات النهائية؟,يتم تسجيل العلامات التي حصل عليها في المواد التي تقدم لها الامتحانات ,انسحاب، امتحانات، تسجيل علامات,الانسحاب من الجامعة
ماذا يحدث إذا انسحب الطالب من الجامعة بعد أربع سنوات من الانسحاب الأول؟,يجوز له التقديم لمجلس العمداء لإعادة التسجيل إذا تمت الموافقة ,انسحاب، إعادة تسجيل، مجلس العمداء,الانسحاب من الجامعة
ماذا يحدث إذا انسحب الطالب من الجامعة وأراد العودة بعد أربع سنوات؟,يمكنه التقديم لمجلس العمداء لإعادة التسجيل بنفس التخصص ,انسحاب، إعادة تسجيل,الانسحاب
ماذا يحدث إذا انسحب الطالب من جميع المواد في الفصل الأول؟,لا يجوز للطالب الانسحاب من جميع المواد في أي حال من الأحوال خلال الفصل الأول من قبوله في الجامعة ,الانسحاب من الفصل الأول,الدراسة
ماذا يحدث إذا انسحب الطالب من جميع المواد في الفصل الأول؟,إذا انسحب الطالب من جميع المواد في الفصل الأول من دراسته، يتم فصله من البرنامج الأكاديمي ,انسحاب الطالب,الفصل الأكاديمي
ماذا يحدث إذا انقضت فترة الانسحاب والإضافة ولم يكن الطالب مسجلاً؟,يعد الطالب منقطعاً عن الدراسة وعليه تقديم بيان أسباب عدم تسجيله ,انقطاع عن الدراسة، فترة انسحاب,انقطاع عن الدراسة
ماذا يحدث إذا انقطع الطالب عن الدراسة دون عذر؟,يلغى تسجيل الطالب إذا انقطع عن الدراسة دون عذر تقبله اللجنة ,انقطاع بدون عذر,تعليمات أكاديمية
ماذا يحدث إذا انقطع الطالب عن الدراسة لفصلين دراسيين متتاليين؟,تُحسب هذه الفصول ضمن المدة المسموح بها للتأجيل بالإضافة إلى تطبيق الفقرة ب ,انقطاع، فصلين دراسيين، تأجيل,انقطاع عن الدراسة
ماذا يحدث إذا تأخر الطالب في تقديم رسالته بعد المناقشة؟,إذا تأخر الطالب في تقديم رسالته بعد المناقشة، يعتبر راسبًا في الرسالة ويجب عليه إعادة تعديل الرسالة وفقًا للتعليمات التي تحددها اللجنة ,تأخير تقديم الرسالة,الإشراف
ماذا يحدث إذا تأخر الطالب في دفع الرسوم؟,إذا لم يسدد الطالب الرسوم المقررة في المواعيد المحددة، يُلغى تسجيله في الفصل ,تأخير الرسوم,التسجيل
ماذا يحدث إذا تأخر الموظف عن تسديد أقساط القرض الممنوح من الصندوق؟,يتم اتخاذ الإجراءات القانونية المناسبة لضمان استرداد المبلغ، مثل بيع العقار الممول بالقرض ,تأخير تسديد القرض,تعليم
ماذا يحدث إذا تبين أن الموظف قد فقد حقه في المكافأة؟,إذا تبين أن الموظف فقد حقه في المكافأة، يتعين عليه رد المبلغ الذي حصل عليه ,فقدان الحق، رد المبلغ,مكافأة
ماذا يحدث إذا تجاوز الطالب فترة انقطاعه عن الدراسة لفصل دراسي دون استكمال إجراءات الانتقال؟,يعد الطالب مفصولاً من الجامعة إذا تجاوز انقطاعه عن الدراسة فصل دراسي دون استكمال إجراءات الانتقال ,انقطاع الدراسة,تعليم
ماذا يحدث إذا تجاوز الطالب نسبة الغياب المسموح بها دون عذر؟,يُحرم من المادة ويُعتبر راسبًا فيها ,الحرمان، غياب، عذر,المواظبة
ماذا يحدث إذا تخطى الطالب الغياب بعذر مرضي معتمد؟,إذا تجاوز غياب الطالب بعذر مرضي معتمد أكثر من  5% من مجموع الساعات المقررة، يعد منسحبًا من المادة ,غياب بعذر مرضي,المواظبة
ماذا يحدث إذا تخلف المستعير عن إرجاع الكتاب في الموعد المحدد؟,يغرم المستعير  50 فلساً عن كل يوم تأخير، على أن لا تزيد الغرامة على  0 دنانير ,الغرامة,تعليم
ماذا يحدث إذا ترأس رئيس مجلس أمناء الجامعة أو أحد أعضائه وفداً رسمياً داخل أو خارج المملكة؟,يُصرف له مبلغ يعادل 50% من العلاوة التي يستحقها وفق أحكام النظام بالإضافة إلى تلك العلاوة ,علاوة الوفد، رئيس مجلس الأمناء,مالي
ماذا يحدث إذا ترك أحد الكفيلين أو كلاهما العمل في الجامعة؟,إذا ترك أحد الكفيلين أو كلاهما العمل، يجب على الموظف تقديم كفيل آخر يتوفر فيه نفس الشروط ,الكفيل، ترك العمل,كفالة
ماذا يحدث إذا ترك الكفيل العمل في الجامعة؟,يجب على الموظف تقديم كفيل آخر يتوفر فيه نفس الشروط المنصوص عليها في التعليمات ,الكفيل، ترك العمل,كفالة
ماذا يحدث إذا ترك المقترض الخدمة في الجامعة؟,يجب على المقترض تسديد المبلغ المتبقي للصندوق نقدًا أو من مستحقاته في صندوق الادخار ومكافأة نهاية الخدمة ,ترك الخدمة,تعليم
ماذا يحدث إذا ترك الموظف العمل بعد الحصول على النسبة؟,يجب على الموظف رد المبلغ إذا فقد حقه في المكافأة لأي سبب من الأسباب المنصوص عليها في النظام ,رد المبلغ، فقدان الحق,مكافأة
ماذا يحدث إذا ترك الموظف العمل بعد الحصول على النسبة من المكافأة؟,يجب على الموظف أو الكفيل رد المبلغ إذا فقد حقه في المكافأة لأي سبب من الأسباب المنصوص عليها في النظام ,ترك العمل، رد المبلغ,مكافأة
ماذا يحدث إذا تساوت الأصوات في اتخاذ القرار؟,إذا تساوت الأصوات، يكون صوت رئيس المجلس مرجحاً ,تساوي الأصوات,تعليم
ماذا يحدث إذا تساوت الأصوات في اتخاذ قرار؟,في حال تساوي الأصوات، يكون صوت رئيس المجلس مرجحاً ,تساوي الأصوات,تعليم
ماذا يحدث إذا تغيب الطالب عن الامتحانات النهائية بعذر مرضي مقبول؟,إذا تغيب بعذر مرضي مقبول، يُجري الطالب امتحان تعويضي في الفصل التالي ,امتحان تعويضي، عذر مرضي,تعليم
ماذا يحدث إذا تغيب الطالب عن الامتحان النهائي بعذر مرضي؟,يتم إجراء امتحان تعويضي للطالب في موعد أقصاه نهاية الأسبوع الثاني من الفصل التالي ,غياب، امتحان نهائي، تعويضي,قوانين أكاديمية
ماذا يحدث إذا تغيب الطالب عن الامتحان النهائي بعذر مقبول؟,يتم إجراء امتحان تعويضي له ,غياب، امتحان نهائي,التقييم
ماذا يحدث إذا تغيب الطالب عن حضور جلسات المجلس لأربع مرات متتالية؟,تسقط عضويته في المجلس إذا تغيب عن حضور أربع جلسات متتالية دون عذر مقبول ,التغيب عن الجلسات,تعليم
ماذا يحدث إذا تم إتلاف الخزانة الحديدية؟,إذا تم إتلاف الخزانة الحديدية، يتكبد المشترك غرامة على الضرر الناتج ,إتلاف الخزانة,تعليم
ماذا يحدث إذا تم استخدام الخزانة الحديدية لغير الأغراض الجامعية؟,إذا تم استخدام الخزانة لغير الأغراض الجامعية، يتخذ المجلس إجراءات تأديبية ضد الطالب ,استخدام الخزانة,تعليم
ماذا يحدث إذا تم استخدام الخزنة لغير الأغراض المسموح بها؟,يتم اتخاذ إجراءات تأديبية ضد الطالب الذي يستخدم الخزنة لغير الأغراض المسموح بها ,استخدام الخزنة,تعليم
ماذا يحدث إذا تم اكتشاف تلاعب في جرد المستودعات؟,إذا تم اكتشاف تلاعب في جرد المستودعات، يتم اتخاذ الإجراءات اللازمة بناءً على نتائج التحقيق الذي يتم من قبل لجنة مختصة ,تلاعب في الجرد,إجراءات
ماذا يحدث إذا تم اكتشاف نقص أو زيادة في المستودع؟,يتم تنظيم قوائم مستقلة للزيادة أو النقص وتوقع من جميع الأشخاص الذين اشتركوا في عمليات الجرد أو التسميم ,نقص في المستودع,إجراءات
ماذا يحدث إذا تم الفصل المؤقت من الجامعة؟,لا يحق للطالب المفصول التسجيل في الفصل الصيفي الذي يسبق الفصل الذي فُصل فيه ,الفصل المؤقت,تعليم
ماذا يحدث إذا تمت إزالة موازم من المستودع؟,إذا تمت إزالة موازم من المستودع، يتم تحديث سجلات الجرد وتوثيق الأسباب التي أدت إلى إزالة هذه الموازم ,إزالة الموازم,إجراءات
ماذا يحدث إذا تمت المعالجة دون موافقة مسبقة من الجامعة؟,لا تتحمل الجامعة أي نفقات إذا تمت المعالجة دون موافقة مسبقة من الجهات المختصة بالجامعة ,المعالجة دون موافقة مسبقة,تقنية
ماذا يحدث إذا تم تعديل أو إلغاء نظام البحث العلمي في الجامعة؟,تظل التعليمات والقرارات السابقة سارية المفعول حتى تعديلها,تعديل النظام,إجراءات تنفيذية
ماذا يحدث إذا تم تعديل النظام؟,في حال تم تعديل النظام، يتم تطبيق التعديلات الجديدة وفقًا للموافقة من مجلس العمداء ,تعديل النظام,إجراءات تنفيذية
ماذا يحدث إذا تم توقيع قيد خاطئ في سجلات الموازم؟,يتم تصويب القيد الخاطئ عن طريق الحبر الأحمر وتوقيع الشخص الذي قام بالتصويب وكذلك الشخص المسؤول عن القيد ,قيد خاطئ,إجراءات
ماذا يحدث إذا تم رفض التعيين؟,يتم إلغاء القرار ويُطلب من الشخص تقديم المزيد من الوثائق إذا لزم الأمر ,رفض التعيين,إجراءات
ماذا يحدث إذا تم رفض توصية التعيين لعضو الهيئة التدريسية؟,يتم تقديم التوصية من قبل مجلس القسم ثم مجلس الكلية إذا رفضت توصية اللجنة ,رفض التوصية,شروط وأحكام
ماذا يحدث إذا تم رفض رسالة الطالب من قبل لجنة المناقشة؟,إذا تم رفض رسالة الطالب، فإنه يمنح شهادة دبلوم الدراسات العليا وفقًا لأحكام المادة (5 ) من التعليمات ,رفض الرسالة,التخرج والدرجات
ماذا يحدث إذا تم رفض مشروع بحث علمي؟,يتم رفض المشروع إذا لم يتوافق مع الأولويات البحثية أو المعايير المعتمدة ,رفض المشروع,إجراءات تنفيذية
ماذا يحدث إذا تم رفض مشروع بحث علمي؟,يتم رفض المشروع إذا لم يتوافق مع الأولويات البحثية أو معايير المجلس,رفض المشروع,إجراءات تنفيذية
ماذا يحدث إذا تم شغر مكان عضو من أعضاء المجلس؟,إذا شغر مكان عضو في المجلس، يتم حل محله من يلي آخر الأعضاء في عدد الأصوات إلى الاحتياط الثالث في كليته، وإذا استنفذت هذه الخيارات، يتم انتخاب عضو جديد ,شغر مكان العضو,تعليم
ماذا يحدث إذا تم فصل الطالب فصلاً مؤقتاً؟,لا يُحتسب للطالب المفصول فصلاً مؤقتاً أي مواد دراسية خلال مدة فصله ,الفصل المؤقت,تعليم
ماذا يحدث إذا تم قبول طلب الترقية؟,يتم تثبيت الرتبة الجديدة وتعديل الراتب وفقًا للأنظمة الجامعية ,قبول الترقية,إجراءات
ماذا يحدث إذا توفي العامل بسبب عمله؟,تدفع لعائلة العامل المتوفى تعويضًا يعادل راتب سنة كاملة بالإضافة إلى الحقوق المالية الأخرى ,وفاة العامل,تعليم
ماذا يحدث إذا توفي المشترك أثناء وجوده في الخارج؟,إذا توفي المشترك أثناء وجوده في الخارج، يتم نقل جثمانه إلى المملكة على حساب التأمين الصحي، بالإضافة إلى تغطية تكاليف سفر المرافق للجثمان ,وفاة المشترك,المعالجة الخارجية
ماذا يحدث إذا توقف تخرج الطالب على مادة واحدة غير مطروحة في الفصل الذي يتخرج فيه؟,يمكن للعميد أن يوافق على دراسة الطالب لمادة بديلة مماثلة لها في المستوى وعدد الساعات المعتمدة ,توقف تخرج,تعليم
"ماذا يحدث إذا حصل الطالب على ""C"" في مادة من المواد الأساسية؟",يُطلب منه إعادة دراسة المادة لتحسين العلامة ,C، إعادة دراسة، مادة أساسية,قوانين أكاديمية
ماذا يحدث إذا حصل الطالب على إنذار أكاديمي؟,يجب على الطالب رفع معدله التراكمي إلى الحد الأدنى خلال فصلين دراسيين لتجنب الفصل من التخصص ,إنذار أكاديمي، فصل,تعليم
"ماذا يحدث إذا حصل الطالب على درجة ""F"" في مادة أساسية؟",يجب عليه إعادة دراسة المادة لتجاوزها ,درجة F، مادة أساسية، إعادة دراسة,قوانين أكاديمية
ماذا يحدث إذا درس طالب في البرنامج الدولي مواد في جامعة أخرى؟,تحتسب المواد التي حصل فيها الطالب على علامة ج أو ما يعادلها، بشرط أن لا يكون قد مضى على دراسته أكثر من سبع سنوات، ولكن لا تدخل في حساب معدله الفصلي أو التراكمي ,دراسة مواد في جامعة أخرى,تعليمات جامعية
ماذا يحدث إذا رسب الطالب في الامتحان الشامل؟,يمكن للطالب التقدم للامتحان الشامل لمرة ثانية فقط إذا رسب في المرة الأولى ,رسوب الطالب,تعليمات الامتحانات
ماذا يحدث إذا رسب الطالب في الامتحان الشامل؟,إذا رسب الطالب في الامتحان الشامل لأول مرة، يمكنه التقدم للامتحان مرة ثانية فقط  إذا رسب في المرة الثانية، يُفصل من برنامج الماجستير ويمنح شهادة دبلوم الدراسات العليا ,الامتحان الشامل، رسوب الطالب,امتحان الماجستير
ماذا يحدث إذا رسب الطالب في الامتحان الشامل في المرة الثانية؟,في حال الرسوب للمرة الثانية، يتم فصل الطالب من برنامج الماجستير ويمنح شهادة دبلوم الدراسات العليا ,الرسوب، الفصل من البرنامج,امتحان الماجستير
ماذا يحدث إذا رسب الطالب في الامتحان الشامل لأول مرة؟,إذا رسب الطالب في الامتحان الشامل لأول مرة، يمكنه التقدم للامتحان لمرة ثانية في الموعد الذي يعقد فيه الامتحان ,الرسوب في الامتحان الشامل,الامتحانات الأكاديمية
ماذا يحدث إذا رسب الطالب في الامتحان الشامل للمرة الثانية؟,إذا رسب الطالب للمرة الثانية، يتم فصله من برنامج الماجستير ويمنح شهادة دبلوم الدراسات العليا ,الرسوب، الفصل من البرنامج,امتحان الماجستير
ماذا يحدث إذا رسب الطالب في الامتحان الشامل للمرة الثانية؟,في حال الرسوب للمرة الثانية، يتم فصل الطالب من برنامج الماجستير ويمنح شهادة دبلوم الدراسات العليا ,الرسوب الثاني، الفصل من البرنامج,امتحان الماجستير
ماذا يحدث إذا رسب الطالب في امتحان الكفاءة المعرفية مرتين؟,"إذا رسب الطالب في الامتحان مرة ثانية، فإنه يفصل من البرنامج  الحد الأدنى لعلامة النجاح يُحدد ويتم تسجيل النتيجة في كشف علامات الطالب بعبارة ""ناجح"" أو ""راسب"" في كل مرة يتقدم فيها للامتحان ",نتائج الامتحان,الرسوب، فصل الطالب
ماذا يحدث إذا رسب الطالب في مادة إجبارية؟,يجب عليه إعادة دراسة المادة التي رسب فيها ,مادة إجبارية، رسوب,قوانين أكاديمية
ماذا يحدث إذا رسب الطالب في مادة إجبارية؟,يجب عليه إعادة دراسة المادة ,رسوب، مواد إجبارية,التقييم
ماذا يحدث إذا رسب الطالب في مادة اجبارية؟,يجب على الطالب إعادة دراسة المادة الإجبارية التي رسب فيها ,إعادة دراسة، رسوب,تعليم
ماذا يحدث إذا رسب الطالب في مادة اختيارية؟,إذا رسب الطالب في مادة اختيارية، فإن ذلك لا يؤدي إلى الفصل ولكن يجب عليه إعادة المادة ,الرسوب في المواد الاختيارية,الفصل الأكاديمي
ماذا يحدث إذا رسب الطالب في مادتين إجباريتين؟,إذا رسب الطالب في مادتين إجباريتين من خطته الدراسية أو في نفس المادة مرتين، فإنه يتم فصله من البرنامج الأكاديمي ,الرسوب في المواد الإلزامية,الفصل الأكاديمي
ماذا يحدث إذا رسب الطالب في مناقشة رسالة الماجستير؟,إذا رسب الطالب في مناقشة رسالة الماجستير، يجب عليه إجراء التعديلات المطلوبة ثم إعادة عرض الرسالة على لجنة المناقشة ,الرسوب في المناقشة,مناقشة الرسالة
ماذا يحدث إذا رغب المشمول بتغيير وسيلة النقل أو درجتها؟,يتحمل فرق المبالغ المترتبة على ذلك على أن يستفيد من الخصم المقرر للجامعة ,تغيير وسيلة النقل، فرق المبالغ,مالي، تنظيمي
ماذا يحدث إذا رفض العامل تقديم تقرير طبي بعد إصابته؟,في هذه الحالة، لا يتم دفع تعويض له من الجامعة ,تقرير طبي,تعليم
ماذا يحدث إذا رفض المقترض تسديد الدفعات المستحقة في القرض؟,يتم بيع السكن محل القرض بقرار من اللجنة لضمان تسديد القرض ,رفض التسديد,تعليم
ماذا يحدث إذا رفض الموظف إجازة تم منحها له؟,يمكن للموظف رفض الإجازة في حال كان لديه مصلحة عملية، ولكن يجب على الإدارة إعادة جدولة الإجازة ,رفض الإجازة,قوانين العمل
ماذا يحدث إذا سجل الطالب أكثر من الحد الأقصى للعبء الدراسي؟,يتم إلغاء أي مادة للطالب يتجاوز عبؤه الدراسي الحد الأعلى المسموح به في الفصل ,تجاوز العبء الدراسي,تعليمات الدراسة
ماذا يحدث إذا طلب الطالب تأجيل دراسته؟,يجوز للطالب تأجيل دراسته لمدة لا تزيد عن فصلين دراسيين متصلين أو منفصلين طوال مدة دراسته في البرنامج ,تأجيل الدراسة,الدراسة
ماذا يحدث إذا غاب الطالب عن أكثر من  5% من الساعات المقررة لمادة معينة؟,يُحرم الطالب من حضور المحاضرات والتقدم للامتحانات ويعتبر راسباً في المادة ,غياب,تعليم
ماذا يحدث إذا غاب الطالب عن أكثر من النسبة المحددة في المادة؟,إذا غاب الطالب عن أكثر من النسبة المقررة دون عذر مرضي معتمد أو قهري يقبله مدرس المادة، يُحرم من التقدم للامتحان النهائي ويعد راسبًا في المادة ,غياب الطالب,الدراسة
ماذا يحدث إذا غاب الطالب عن أكثر من نسبة محددة من الساعات المقررة؟,يُحرم الطالب من حضور المحاضرات والتقدم للامتحانات ويعد راسبًا في المادة ,غياب، حرمان، امتحانات,قوانين أكاديمية
ماذا يحدث إذا غاب الطالب عن المادة وكان الغياب بعذر مرضي؟,يعتبر الطالب منسحبًا من المادة وتطبق عليه أحكام الانسحاب ,غياب، عذر مرضي، انسحاب,قوانين أكاديمية
ماذا يحدث إذا غاب الطالب عن مادة ما لأكثر من  5% من الساعات المقررة؟,"يُعتبر منسحبًا من المادة وتُسجل ملاحظة ""منسحب"" في سجله الأكاديمي ",غياب، منسحب، ملاحظة,قوانين أكاديمية
ماذا يحدث إذا فشل الطالب في إجراء التعديلات المطلوبة على رسالته؟,إذا فشل الطالب في إجراء التعديلات المطلوبة على رسالته في المدة المحددة، يعد راسبًا ويمنح شهادة دبلوم الدراسات العليا ,التعديلات، راسب,تقييم الرسالة
ماذا يحدث إذا فشل الطالب في حضور مناقشة رسالته؟,إذا فشل الطالب في حضور مناقشة رسالته دون إذن مبرر، يعتبر راسبًا وتستوجب مناقشته مرة أخرى في وقت لاحق بعد أن يلتزم بالتعليمات الأكاديمية ,فشل في حضور المناقشة,الإشراف
ماذا يحدث إذا فشل الطالب في رفع معدله التراكمي بعد الإنذار؟,يُفصل من التخصص، ويُتاح له الانتقال إلى تخصص آخر مشابه إذا كان معدله التراكمي يحقق شروط الانتقال ,فشل، إنذار أكاديمي، فصل,قوانين أكاديمية
ماذا يحدث إذا فقد الموظف حقه في الحصول على المكافأة؟,يتعهد الموظف وكفيله برد المبلغ إذا تبين أنه فقد حقه في المكافأة لأي سبب من الأسباب المنصوص عليها في النظام ,فقد الحق، رد المبلغ,رد المبلغ
ماذا يحدث إذا قامت الجهة الممولة بدفع جزء من نفقات الإيفاد فقط؟,تتحمل الجامعة الفرق بين النفقات المدفوعة من الجهة الأخرى والمقررة من الجامعة ,فرق النفقات، الجهة الممولة,مالية، تنظيمية
ماذا يحدث إذا قدم الطالب عذرًا بعد مرور أكثر من ثلاثة أسابيع من بداية الفصل؟,يُنظر في العذر من قبل مجلس الكلية وقد يُسمح له بالتسجيل للفصل التالي ,انقطاع عن الدراسة، عذر، مجلس الكلية,انقطاع عن الدراسة
ماذا يحدث إذا قرر الطالب الانسحاب من بعض المواد فقط؟,"يُسجل ""منسحب"" في المواد التي انسحب منها في سجله الأكاديمي ",انسحاب، مواد، سجل أكاديمي,قوانين أكاديمية
ماذا يحدث إذا قرر الطالب عدم مواصلة دراسة الماجستير؟,إذا قرر الطالب عدم مواصلة دراسة الماجستير بعد دراسة 30 ساعة معتمدة، يمكنه التقديم للحصول على شهادة دبلوم الدراسات العليا ,30 ساعة معتمدة، دبلوم الدراسات العليا,شروط منح الشهادات
ماذا يحدث إذا قرر الطالب عدم مواصلة دراسة الماجستير بعد دراسته 30 ساعة معتمدة؟,في هذه الحالة، يمكن للطالب التقدم للحصول على شهادة دبلوم الدراسات العليا إذا كان القرار مدعومًا بتوصية لجنة القسم والموافقة من مجلس العمداء ,عدم المواصلة، 30 ساعة معتمدة,شروط منح الشهادات
ماذا يحدث إذا كان الطالب غائبًا عن الامتحان النهائي ولم يقدم عذرًا مقبولًا؟,"يُعتبر الطالب راسبًا ويُسجل ""غ"" في خانة علامته النهائية ",غياب، امتحان نهائي، راسب,قوانين أكاديمية
ماذا يحدث إذا كان الطالب قد نجح في امتحان TOEFL؟,يتم إعفاء الطالب من مادة اللغة الإنجليزية الاستدراكية بناءً على درجته في TOEFL,امتحان TOEFL,الطلاب الدوليين
ماذا يحدث إذا كانت الدرجة التي اشترك فيها المشترك غير متوافرة؟,في حالة عدم توافر مكان في الدرجة التي اشترك بها، يجب على المستشفى توفير سرير في درجة أعلى أو أدنى حتى يتم شغل سرير في الدرجة المطلوبة ,توافر مكان,تقنية
ماذا يحدث إذا كانت الرسالة بحاجة لتعديلات طفيفة بعد المناقشة؟,إذا كانت الرسالة بحاجة لتعديلات طفيفة، يجب على الطالب تعديل رسالته وإقرار التعديلات من أعضاء اللجنة وتسليمها في مدة لا تتجاوز شهر من تاريخ المناقشة، وإلا اعتبر راسبًا ,التعديلات بعد المناقشة,الإشراف
ماذا يحدث إذا كانت الرسالة بحاجة لتعديلات كبيرة؟,في حال كانت الرسالة بحاجة لتعديلات كبيرة، يجب على الطالب تعديل رسالته وتسليمها خلال 4 أشهر من تاريخ المناقشة، وإلا اعتبر راسبًا ,التعديلات الكبيرة,الإشراف
ماذا يحدث إذا كانت القيمة الإجمالية للموازم المراد إتلافها أكثر من ألف دينار؟,يتم إتلاف الموازم التي تزيد قيمتها عن ألف دينار بقرار من نائب الرئيس بناءً على توصية لجنة مكونة من مسؤولين في الجامعة ,إتلاف الموازم,إجراءات
ماذا يحدث إذا كانت المؤهلات العلمية للموظف منخفضة عن الشروط المطلوبة للوظيفة؟,إذا كانت المؤهلات أقل من المطلوبة، يتم تعديل راتب الموظف وفقًا لذلك ,المؤهلات,الرواتب
ماذا يحدث إذا كانت المادة المطلوبة للتخرج غير مطروحة في الفصل؟,يمكن للعميد أن يوافق على دراسة مادة بديلة مشابهة للمادة الأصلية في المستوى والعدد ,مادة بديلة,تعليم
ماذا يحدث إذا كانت المخالفة تنطوي على جريمة جزائية؟,يتم إيقاف الإجراءات التأديبية وتحال القضية إلى السلطات القضائية المختصة ,الجريمة الجزائية,تعليم
ماذا يحدث إذا كانت المخطوطات المؤلفة أو المحققة لا تتوافق مع معايير المجلس؟,يتم تقييم المخطوطات وتوصية بدعم نشرها في حال كانت مؤهلة,تقييم المخطوطات,إجراءات تنفيذية
ماذا يحدث إذا كانت الموازم غير قابلة للاستخدام؟,إذا كانت الموازم غير قابلة للاستخدام، يتم إتلافها وفقًا للأحكام المتعلقة بالإتلاف ,إتلاف الموازم,إجراءات
ماذا يحدث إذا كانت سياسة البحث العلمي تحتاج إلى تعديل؟,يتم تعديل السياسة بناءً على توصية مجلس البحث العلمي,تعديل السياسة,إجراءات تنفيذية
ماذا يحدث إذا كانت قيمة الموازم المفقودة أو المتلفة أقل من مائة دينار؟,إذا كانت القيمة أقل من مائة دينار، يتخذ العميد أو المدير المختص القرار المناسب بشأن الموضوع ,فقدان الموازم,إجراءات
ماذا يحدث إذا كانت مادة التخرج مطروحة في الفصل الذي يتخرج فيه الطالب؟,يتم إعفاء الطالب من دراسة المادة إذا كانت قد طرحت بعد اجتيازه المادة البديلة بنجاح ,المادة الأصلية,تعليم
ماذا يحدث إذا كانت هناك حالات علاجية لم يرد عليها نص في التعليمات؟,توصي لجنة التأمين الصحي في الحالات التي لم يرد عليها نص للرئيس لاتخاذ القرار المناسب بشأنها ,الحالات غير الواردة,أحكام عامة
ماذا يحدث إذا كان هناك خطأ في المستندات المتعلقة بالموازم؟,يجب أن يتم التصويب باستخدام الحبر الأحمر، ويوقع الشخص الذي قام بالتصويب بالإضافة إلى توقيع الشخص الذي سجل الموازم أو المواد المكتبية ,خطأ في المستندات,إجراءات
ماذا يحدث إذا كان هنالك تعارض بين مواعيد الامتحانات والمحاضرات؟,يجب أن يراعى عدم تعارض مواعيد الامتحانات مع محاضرات الطلبة أو امتحاناتهم ,تعارض المواعيد، الامتحانات,تنظيم الامتحانات
ماذا يحدث إذا كلف المشمول بمهمة في مدينة العقبة أو البتراء؟,يُصرف له مبلغ يعادل 50% من العلاوة التي يستحقها وفق الترتيب المحدد بالإضافة إلى تلك العلاوة ,علاوة خاصة، مدينة العقبة والبتراء,مالي
ماذا يحدث إذا لم تلتزم مشروعات البحث العلمي بالمعايير الأكاديمية؟,يتم إعادة تقييم المشروع أو رفضه من قبل المجلس إذا تبين عدم التزامه بالمعايير,رفض المشاريع,إجراءات تنفيذية
ماذا يحدث إذا لم يبدأ الموظف عمله بعد أسبوعين من قرار تعيينه؟,إذا لم يبدأ الموظف عمله بعد أسبوعين من قرار تعيينه، يعتبر قرار تعيينه لاغيًا إلا إذا كان لديه عذر قاهر ,التعيين,الإدارة
ماذا يحدث إذا لم يتقدم الطالب للامتحان الشامل؟,إذا لم يتقدم الطالب للامتحان الشامل، يمكن أن يتم فصله من البرنامج بناءً على تعليمات الجامعة ,الامتحان الشامل,الامتحانات الأكاديمية
ماذا يحدث إذا لم يتقدم الطالب للامتحان الشامل بعد 8 فصول دراسية؟,إذا لم يتقدم الطالب للامتحان الشامل بعد 8 فصول دراسية من تسجيله، يتم فصله من البرنامج وفقًا للتعليمات ,الامتحان الشامل,الامتحانات الأكاديمية
ماذا يحدث إذا لم يتم العثور على تمويل كافٍ لمشروع بحث علمي؟,يحاول عميد البحث العلمي إيجاد مصادر تمويل إضافية من خارج أو داخل المملكة,نقص التمويل,إجراءات تنفيذية
ماذا يحدث إذا لم يتم تسجيل الرسالة في المدة المحددة؟,إذا لم يسجل الطالب رسالته في المدة المحددة، لا يحسب عبء التدريس للمشرف على الرسالة في نفس الفصل الدراسي ,تأخير تسجيل الرسالة,الإشراف
ماذا يحدث إذا لم يتم تسليم الخزانة بعد التخرج؟,إذا لم يتم تسليم الخزانة بعد التخرج، يتم ضبط محتويات الخزانة ,تسليم الخزانة,تعليم
ماذا يحدث إذا لم يتم تعيين الموفد في الجامعة بعد ستة أشهر من تقديم نفسه رسميًا؟,يصبح الموفد وكفيلاه محل حل من جميع الالتزامات المترتبة عليهم بمقتضى النظام وأي تعهد أو عقد آخر مع الجامعة ,عدم التعيين، حل الالتزامات,قانونية، إدارية
ماذا يحدث إذا لم يتم تقديم كفيل بديل وفقاً للتعليمات؟,في حال عدم تقديم كفيل بديل، يتم حجز 50% من قيمة القرض الممنوح للموظف من مستحقات الكفيل الذي ترك العمل ,كفيل بديل، حجز القرض,كفالة، قرض
