السؤال,الجواب,الكلمة المفتاحية,التصنيف,score
ما هو دور عميد الكلية في أسس المراقبة على الامتحانات؟,عميد الكلية أو من يفوضه يبت في القضايا التي لم يرد عليها نص في أسس المراقبة على الامتحانات ,"عميد الكلية، القضايا",صلاحيات,0.528994739
ما هو دور عميد الكلية في فرض العقوبات؟,يتولى عميد الكلية فرض العقوبات على المخالفات التي تحدث داخل الكلية ,"عميد الكلية، العقوبات",التعليم,0.529901862
ما هو دور لجنة أخلاقيات الرسائل الجامعية؟,لجنة أخلاقيات الرسائل الجامعية تختص بالنظر في القضايا الأخلاقية المتعلقة بالبحث العلمي وحماية حقوق أفراد الدراسة والمجتمع ,أخلاقيات البحث,تعليم,0.530448616
ما هو دور لجنة البحث العلمي في الجامعة؟,تقوم لجنة البحث العلمي بتنفيذ مشاريع بحثية والتعاون مع مؤسسات دولية ومحلية ,لجنة البحث العلمي,تعليم,0.530561328
ما هو دور لجنة البحث العلمي في كل كلية؟,لجنة البحث العلمي في كل كلية مسؤولة عن تنظيم شؤون البحث العلمي داخل الكلية ,لجنة البحث العلمي,مسؤوليات,0.529738724
ما هو دور لجنة التعيين والترقية؟,هي لجنة مسؤولة عن النظر في الطلبات المتعلقة بتعيين وترقية أعضاء الهيئة التدريسية وفقًا للقانون ,لجنة التعيين,مهام,0.529830575
ما هو دور لجنة الدراسات العليا في الامتحان الشامل؟,"تقوم لجنة الدراسات العليا في القسم باختيار عدد الأسئلة المناسب من الأسئلة التي وضعتها لجنة القسم، ثم تقوم بتصحيح إجابات الطلاب ","لجنة الدراسات العليا، الأسئلة",امتحان الماجستير,0.52931571
ما هو دور لجنة المناقشة في مناقشة رسالة الطالب؟,"تقوم لجنة المناقشة بتقييم رسالة الطالب بناءً على معايير محددة، وتقرر إما النجاح، أو التعديلات، أو الرسوب ",دور لجنة المناقشة,مناقشة الرسالة,0.529439867
ما هو دور مجلس البحث العلمي في التعاون مع الجهات الخارجية؟,وضع أسس التعاون والتنسيق مع الجهات الأخرى المعنية بالبحث العلمي,التعاون مع الجهات الأخرى,مسؤوليات,0.532640159
ما هو دور مجلس البحث العلمي في تحديد أولويات البحث؟,تحديد أولويات البحث العلمي ورفعها لمجلس العمداء,أولويات البحث,مسؤوليات,0.53227663
ما هو دور مجلس البحث العلمي في تحديد أولويات البحث؟,تحديد أولويات البحث العلمي والعمل على رفعها إلى مجلس العمداء,تحديد الأولويات,مسؤوليات,0.531593263
ما هو دور مجلس البحث العلمي في تقييم مخصصات البحث العلمي؟,مناقشة مخصصات البحث العلمي وإدراجها في موازنة الجامعة,مخصصات البحث العلمي,مسؤوليات,0.532364309
ما هو دور مجلس البحث العلمي في منح الجوائز للبحوث المتميزة؟,يوصي مجلس العمداء بمنح جوائز تقديرية وتشجيعية للبحوث المتميزة,منح الجوائز,مسؤوليات,0.532943785
ما هو دور مجلس العمداء في البحث العلمي؟,يقرر السياسات العامة للبحث العلمي بناء على توصية مجلس البحث العلمي,مجلس العمداء,مسؤوليات,0.530852973
ما هو رسم التأمين الصحي لطلاب الجامعات الأردنية؟,"يتحدد رسم التأمين الصحي كدفع مبلغ معين لكل فصل دراسي للطلاب، ويجب دفعه مع الرسوم الجامعية ","التأمين الصحي، الرسوم",التعليم,0.531359792
ما هو رقم الجريدة التي تم نشر النظام فيها؟,46 8,رقم الجريدة,معلومات عامة,0.539966583
ما هو رقم الجريدة التي نُشر فيها النظام؟,رقم الجريدة هو 46 8,رقم الجريدة,معلومات عامة,0.531778097
ما هو رقم النظام الذي ينظم البحث العلمي في الجامعة الهاشمية؟,رقم (96) لسنة  003,رقم النظام,معلومات عامة,0.534941912
ما هو سقف ما تتحمله الجامعة عن نفقات المعالجة للمشترك؟,"تتحمل الجامعة نفقات المعالجة للمشترك حتى مبلغ  5,000 دينار سنويًا، وللمنتفع حتى  0,000 دينار سنويًا ",سقف التغطية,تفاصيل التغطية,0.530398428
ما هو شرط احتساب المواد التي درسها الطالب في جامعات أخرى؟,"يجب أن تكون المواد قد درست بنجاح خلال سبع سنوات للتخصصات العلمية، وخمس عشرة سنة للتخصصات الإنسانية ",معادلة المواد,تعليم,0.529605091
ما هو عدد الساعات المعتمدة التي يمكن معادلتها من الشهادات الداخلية أو الخارجية؟,لا يزيد عدد الساعات المعتمدة المعادلة عن 30 ساعة معتمدة لنظام السنتين والثلاث سنوات ,الساعات المعتمدة,تعليم,0.529080629
ما هو عدد الطلاب الأقصى في الشعبة التي يتولى المراقبة عليها مدرس المادة؟,الحد الأقصى للعدد الذي يمكن أن يشرف عليه مدرس المادة هو (40) طالباً ,"عدد الطلاب، مدرس المادة",تنظيم الامتحانات,0.531535327
ما هو عدد المرات التي يمكن للطالب التقدم فيها للامتحان الشامل؟,"يمكن للطالب التقدم للامتحان الشامل مرتين فقط؛ إذا رسب في المرة الثانية، يتم فصله من البرنامج ","التقدم للامتحان، عدد المرات",امتحان الماجستير,0.531579614
ما هو قانون الجامعات الأردنية الذي صدر بموجبه هذا النظام؟,قانون الجامعات الأردنية الرسمية رقم (4 ) لسنة  00 ,قانون الجامعات الأردنية,معلومات عامة,0.534791708
ما هو نظام الهيئة التدريسية في الجامعة الهاشمية؟,"هو نظام يحدد قواعد تعيين وترقية أعضاء الهيئة التدريسية في الجامعة الهاشمية، ويصدر بموجب قانون الجامعات الأردنية الرسمية ",نظام الهيئة التدريسية,معلومات عامة,0.529518068
ما هو هدف الجامعات الأردنية من التعاون الدولي؟,تهدف الجامعات الأردنية إلى الحفاظ على علاقات تعاون مع الجامعات المرموقة على مستوى العالم ,"التعاون الدولي، الجامعات الأردنية",التعليم,0.529802382
ما هو هدف امتحان الكفاءة المعرفية؟,"يهدف امتحان الكفاءة المعرفية إلى قياس عمق فهم الطالب ومعرفته لأساسيات تخصصه، قدرة الطالب على التفكير التحليلي المنظم في تناول القضايا والمشكلات المتعلقة بحقل تخصصه، قدرة الطالب على تقديم حلول جديدة أو ابتكارات للمشكلات النظرية والعملية في حقل تخصصه، وقدرة الطالب على البحث المنهجي وتفسير المعطيات المعرفية ",الامتحانات الأكاديمية,امتحان الكفاءة المعرفية,0.528079748
ما هو هدف صندوق إسكان العاملين في الجامعة الهاشمية؟,يهدف الصندوق إلى تقديم القروض لغايات الإسكان وشراء العقارات وإنشاء مشاريع إسكانية للمشتركين ,صندوق إسكان,تعليم,0.531960666
ما هي آليات التواصل بين الموفد والجامعة أثناء البعثة؟,"تشمل آليات التواصل التقارير الدورية، الاجتماعات الافتراضية، والمراسلات الرسمية بين الموفد والجهات المختصة في الجامعة ","التواصل، آليات","إدارية، أكاديمية",0.530201852
ما هي آلية اختيار الأعضاء من خارج الجامعة لمجلس البحث العلمي؟,يختارهم مجلس العمداء بناءً على تنسيب العميد,اختيار الأعضاء,إجراءات تنفيذية,0.532482028
ما هي آلية التخلص من الموازم التي لا حاجة لها؟,"يتم التخلص من الموازم عن طريق البيع أو الإتلاف حسب الحالة، ويتم تحديد ذلك من قبل اللجنة المختصة بناءً على تقرير من المسؤولين ",التخلص من الموازم,إجراءات,0.529667675
ما هي آلية صرف الإجازات المرضية في حال كانت طويلة؟,"يمكن صرف إجازات مرضية مدفوعة تصل إلى 60 يومًا، وبعدها تصبح الإجازات غير مدفوعة ",إجازات مرضية,قوانين العمل,0.530774713
ما هي أبرز المرافق التعليمية في الجامعة الهاشمية؟,"تحتوي الجامعة على مكتبات، مختبرات، وقاعات دراسية مجهزة بأحدث التقنيات ",المرافق التعليمية,تعليم,0.530560911
ما هي أبرز مراكز البحث العلمي في الجامعات الأردنية؟,"من أبرز مراكز البحث العلمي: مركز الحوسبة العلمية والتطبيقية (الجامعة الأردنية)، مركز أبحاث الطب الحيوي (جامعة العلوم والتكنولوجيا الأردنية)، مركز الأبحاث الهندسية (جامعة اليرموك) ","مراكز البحث، الجامعات الأردنية",البحث العلمي,0.534626663
ما هي أقدم جامعة حكومية في الأردن؟,الجامعة الأردنية,الجامعة الأردنية,التعليم,0.534298718
ما هي أنواع الإنذار التي يمكن أن يتلقاها الطالب؟,"يشمل الإنذار ثلاثة درجات: الإنذار الأول، الإنذار المزدوج، والإنذار النهائي ",درجات الإنذار,تعليم,0.532621086
ما هي أنواع البعثات العلمية التي تغطيها هذه الأنظمة؟,"تغطي البعثات العلمية للحصول على درجات الماجستير والدكتوراه، بالإضافة إلى دورات تدريبية متقدمة تزيد مدتها على ستة أشهر ","أنواع البعثات، التغطية","أكاديمية، تدريبية",0.529130995
ما هي أهمية البحث العلمي في الجامعة الهاشمية؟,يعتبر البحث العلمي جزءًا أساسيًا من استراتيجية الجامعة الهاشمية لتحسين التعليم وتعزيز التميز الأكاديمي ,أهمية البحث العلمي,تعليم,0.531097531
ما هي أهمية الكفالة في نظام البعثات العلمية؟,"الكفالة تضمن التزام الموفد بالشروط المتفق عليها، وتوفر ضماناً مالياً للجامعة في حال عدم تنفيذ الشروط ","أهمية الكفالة، الضمانات","قانونية، مالية",0.530886173
ما هي إجراءات الانسحاب من الجامعة قبل بدء الامتحانات النهائية؟,يجب على الطالب تقديم طلب الانسحاب قبل أسبوعين من الامتحانات النهائية ,"انسحاب، امتحانات نهائية",الانسحاب من الجامعة,0.5308972
ما هي إجراءات الانسحاب من دراسة مادة؟,"يسمح للطالب بالانسحاب من دراسة مادة أو أكثر خلال مدة محددة من بدء الفصل، ويتم ذلك إلكترونياً أو وفق نموذج خاص تعده وحدة القبول والتسجيل  يُثبت في سجل الطالب ملاحظة ""منسحب""  إذا تجاوز مجموع غياب الطالب نسبة معينة من الساعات المقررة، يُعد منسحباً من الفصل ولا يحتسب هذا الانسحاب ضمن الحد الأعلى لمدة الحصول على الدرجة أو التأجيل ",الانسحاب من المواد,"الانسحاب، غياب الطالب",0.529675782
ما هي إجراءات الطالب إذا كان لديه عذر مرضي أو قهري؟,يجب أن يقدم العذر المرضي أو القهري إلى مدرس المادة أو عميد الكلية خلال أسبوع من تاريخ زوال الأسباب ,العذر المرضي أو القهري,الدراسة,0.530041516
ما هي إجراءات الطالب في حال غيابه عن اختبار فصلي؟,"يجب عليه تقديم عذر في غضون 3 أيام، وإذا تم قبوله، يتم إجراء اختبار تعويضي ","غياب، اختبار فصلي، تعويضي",قوانين أكاديمية,0.530332208
ما هي إجراءات تعيين الموظف في الجامعة؟,"يتم تقديم مبررات للتعيين، إعلان الوظيفة، ثم مراجعة الطلبات وتحويلها للجنة مختصة ",تعيين,الإدارة,0.531411648
ما هي إجراءات صرف راتب الموظف في حالة الإجازة؟,"يتم صرف راتب الموظف بشكل طبيعي في حالة الإجازة السنوية أو المرضية، بشرط أن يكون الموظف قد استوفى شروط الإجازة ",صرف الراتب,قوانين العمل,0.528531849
ما هي إجراءات منح الدرجات الأكاديمية مثل الدكتوراه وماجستير الفلسفة؟,تُمنح درجة الدكتوراه أو درجة ماجستير الفلسفة بقرار من مجلس العمداء بناءً على تنسيب من المجلس  تُمنح الشهادات والدرجات في المواعيد المقررة ,منح الدرجات,"درجات أكاديمية، منح الشهادات",0.529661894
ما هي الآثار المترتبة على الرسوب في الامتحان الشامل؟,"إذا رسب الطالب في الامتحان الشامل مرتين، يتم منح الطالب شهادة دبلوم الدراسات العليا بناءً على هذا الرسوب ",الرسوب في الامتحان الشامل,الأكاديميا,0.530643404
ما هي الآليات المتبعة لتقييم أداء الموفد خلال البعثة؟,"تشمل تقارير دورية، مراجعة الأبحاث المنشورة، والتقييم النهائي من قبل الجامعة والمشرفين الأكاديميين ","تقييم الأداء، الآليات","أكاديمية، إدارية",0.530659735
ما هي الآليات المتبعة لضمان تنفيذ شروط البعثة؟,"تشمل الآليات توقيع عقد الخدمة، تقديم الضمانات المالية، وتقديم الكفالات اللازمة لضمان التزام الموفد بالشروط المتفق عليها ","ضمان تنفيذ الشروط، الآليات","قانونية، مالية",0.53068465
ما هي الآلية الخاصة بمنح الشهادة للطلاب؟,تمنح الشهادة بعد استيفاء جميع متطلبات التخرج بناءً على توصية من لجنتي القسم والكلية ,"منح الشهادة، التخرج",تعليم,0.529670775
ما هي الآلية المتبعة في حال فقدان الموازم؟,"في حال فقدان الموازم، يتم تشكيل لجنة تحقيق بناءً على قيمة الموازم واتخاذ القرار المناسب من قبل المسؤولين ",فقدان الموازم,إجراءات,0.530010283
ما هي الأحكام العامة المتعلقة بالسرقة العلمية وسحب الدرجات؟,تبت لجنة المناقشة في حالات السرقات العلمية أو الشك فيها  يتخذ مجلس العمداء قرارًا بسحب الدرجة العلمية إذا تبين أنها منحت بطرق غير قانونية أو أن الأطروحة لا تتفق مع معايير الأمانة العلمية  يتم إبلاغ الجهات ذات العلاقة داخل وخارج الجامعة بهذا القرار ,الأحكام العامة,"سرقة علمية، سحب الدرجات",0.527953029
ما هي الأدوار التي يقوم بها المشرف في مناقشة الرسالة؟,"يتولى المشرف إدارة المناقشة، وبعدها تتداول لجنة المناقشة لتحديد النتيجة (ناجح، ناجح بعد تعديلات طفيفة، تعديل الرسالة، راسب) ",دور المشرف في المناقشة,مناقشة الرسالة,0.531733513
ما هي الأسس التي تتعلق بالمراقبة على الامتحانات؟,"أسس المراقبة على الامتحانات"" هي مجموعة من القواعد التي وضعتها الجامعة الهاشمية لتنظيم عملية مراقبة الامتحانات 	أسس المراقبة، الامتحانات	قوانين وإجراءات
متى تبدأ الأسس المقررة للمراقبة على الامتحانات العمل؟	تعمل الأسس اعتباراً من بداية العام الجامعي ( 0 3/ 0 4) 	بداية العام الجامعي	تاريخ وتنظيم
هل تشمل الأسس المقررة على الامتحانات الإلكترونية؟	نعم، تشمل الأسس الامتحانات التي تكون إلكترونية بالإضافة إلى الامتحانات الورقية 	الامتحانات الإلكترونية، الورقية	نوع الامتحانات
من المسؤول عن تحديد مكان وموعد الامتحانات؟	تقوم وحدة القبول والتسجيل ومركز تكنولوجيا المعلومات والاتصالات والتعليم الإلكتروني بتحديد مكان وموعد الامتحانات 	وحدة القبول، التسجيل، المركز	مسؤوليات
من يتحمل مسؤولية المراقبة على الامتحانات؟	تكون مسؤولية المراقبة على الامتحانات على عاتق عضو هيئة التدريس الذي يتولى تدريس المادة 	مسؤولية المراقبة، عضو هيئة التدريس	مسؤوليات
ماذا يجب أن يتم قبل الامتحانات بخصوص الأسئلة؟	يجب على عضو هيئة التدريس التأكد من سرية الأسئلة وعدم تسريبها سواء كانت ورقية أو إلكترونية 	سرية الأسئلة، تسريب الأسئلة	مسؤوليات
ما هو الحد الأقصى للعدد الذي يمكن أن يشرف عليه مدرس المادة في الشعبة الواحدة؟	لا يتجاوز عدد الطلبة في الشعبة (40) طالباً تحت إشراف مدرس المادة 	عدد الطلبة، الشعبة	تنظيم الامتحانات
هل يتم تكليف مراقبين إضافيين في حال زيادة عدد الطلبة؟	نعم، في حال زيادة عدد الطلبة عن (40) طالباً في الشعبة، يتم تكليف مراقب إضافي عن كل (40) طالباً 	مراقب إضافي، عدد الطلبة	تنظيم الامتحانات
متى يتعين على المراقبين التواجد في قاعات الامتحان؟	يجب على المراقبين التواجد قبل موعد الامتحان بربع ساعة على الأقل 	تواجد المراقبين، وقت الامتحان	مسؤوليات
هل يمكن عقد الامتحانات في أيام العطل الرسمية؟	لا، يتم الالتزام بعدم عقد الامتحانات في أيام العطل الرسمية إلا بعد الحصول على موافقة مسبقة من رئاسة الجامعة 	العطل الرسمية، الموافقة المسبقة	تنظيم الامتحانات
من يقوم بحل القضايا التي لم يرد عليها نص في الأسس؟	يبت عميد الكلية أو من يفوضه في القضايا التي لم يرد عليها نص في الأسس 	عميد الكلية، القضايا	صلاحيات
كيف يتم التعامل مع المختبرات العملية أثناء الامتحانات؟	يجب إيقاف العمل في المختبرات خلال عقد الامتحانين الأول والثاني في المواد التي تتضمن مختبرات 	المختبرات العملية، إيقاف العمل	تنظيم الامتحانات
ماذا يحدث إذا كان عدد الطلاب في الشعبة أكبر من 40؟	يتم تكليف مدرس المادة بالإشراف على الطلاب، مع الاستعانة بمراقب واحد عن كل (40) طالباً 	عدد الطلاب، مراقب إضافي	تنظيم الامتحانات",,," 0.5298691987991333,  0.5302770733833313,  0.5305210947990417,  0.5280658006668091,  0.5298401713371277"
ما هي الأسس التي تحددها اللجنة لبيع العقار الممول من القرض؟,يتم تحديد الأسس وفقًا للوائح الصندوق وقانون الجامعة ,أسس بيع العقار,تعليم,0.534271657
ما هي الأمور الأخرى التي يمكن أن ينظر فيها مجلس البحث العلمي؟,أي أمور تتعلق بالبحث العلمي,أمور أخرى,مسؤوليات,0.531948864
ما هي الأنواع المختلفة للجان الطبية في الجامعة؟,"الأنواع المختلفة للجان الطبية هي: اللجنة الطبية الأولية، اللجنة الطبية المركزية، اللجنة الطبية العليا ",اللجان الطبية,اللجان الطبية,0.530895412
ما هي الأهداف التي يسعى مجلس البحث العلمي لتحقيقها؟,تنظيم شؤون البحث العلمي ودعمه وتشجيعه,أهداف المجلس,مسؤوليات,0.532991707
ما هي الأهداف الرئيسية للإيفاد العلمي وفقاً للمادة (4)؟,يهدف الإيفاد إلى رفد الجامعة بالكفاءات العلمية المؤهلة ورفع مستوى الأداء الوظيفي للعاملين فيها ,"أهداف الإيفاد، الكفاءات العلمية","أكاديمية، إدارية",0.529980361
ما هي الأهداف الرئيسية للإيفاد في البعثات العلمية؟,يهدف الإيفاد إلى رفد الجامعة بالكفاءات العلمية المؤهلة ورفع مستوى الأداء الوظيفي للعاملين فيها ,"أهداف الإيفاد، الكفاءات العلمية",نظام البعثات العلمية,0.529980361
ما هي الإجراءات إذا لم يرد النص على حالة معينة في التعليمات؟,يبت الرئيس في الحالات التي لم يرد عليها نص في هذه التعليمات ,"الرئيس، الحالات غير الواضحة",إدارة,0.530076206
ما هي الإجراءات التأديبية في حال التحريض على العنف؟,يتم اتخاذ إجراءات تأديبية تشمل فصل الطالب أو إنذار شديد في حالة التحريض على العنف ,التحريض على العنف,تعليم,0.528969228
ما هي الإجراءات التي تتخذ إذا لم يتم تسليم الخزانة في الموعد المحدد؟,"إذا لم يتم تسليم الخزانة في الموعد المحدد، يتم ضبط محتوياتها ",تسليم الخزانة,تعليم,0.531848609
ما هي الإجراءات التي تتخذ في حالة الغش في الامتحان؟,يتم اعتبار الطالب راسباً في المادة ويتم إلغاء تسجيله في باقي المواد ,الغش في الامتحان,تعليم,0.528465331
ما هي الإجراءات التي تتخذها اللجنة إذا خالف المقترض شروط القرض؟,يتم وقف صرف الدفعة المتبقية من القرض وتعتبر المبالغ المدفوعة مستحقة الأداء دينًا على المقترض ,مخالفة شروط القرض,تعليم,0.530130625
ما هي الإجراءات التي تتخذها الهيئة العامة إذا لم يتوفر النصاب القانوني لاجتماعها؟,يتم تأجيل الاجتماع لمدة  4 يومًا ليتم عقد الاجتماع الثاني والذي يعتبر قانونيًا مهما بلغ عدد الحاضرين ,النصاب القانوني,تعليم,0.531774342
ما هي الإجراءات التي يتبعها الرئيس إذا كانت تقارير الأداء غير كافية لتقييم الموظف المعار؟,"في حال تعذر التقارير، يتم اعتماد التقارير السنوية للموظف في السنتين الأخيرتين ",تقارير الأداء,التقييم,0.529912412
ما هي الإجراءات التي يتبعها الطالب عند رغبتهم في عدم مواصلة دراسة الماجستير؟,"يجب على الطالب التقدم خطيًا إلى قسمه مبدياً عدم رغبته في مواصلة دراسة الماجستير بعد دراسته ما لا يقل عن 30 ساعة معتمدة، والاكتفاء بالحصول على شهادة دبلوم الدراسات العليا، بناءً على تنسيب لجنة الكلية وتوصية لجنة القسم وقرار المجلس ","عدم مواصلة الدراسة، دبلوم الدراسات العليا",شروط منح الشهادات,0.529081523
ما هي الإجراءات التي يتبعها الطالب لتقديم طلب انتقال؟,يقدم الطالب الطلب إلى وحدة القبول والتسجيل وتُحال إلى عميد الكلية لمعادلة الساعات ,"طلب انتقال، وحدة القبول، معادلة ساعات",الانتقال,0.530181587
ما هي الإجراءات التي يتبعها مجلس البحث العلمي لدعم المشروعات البحثية؟,"ينظر المجلس في المشروعات البحثية ويقرها، ويقترح أسس دعم نشرها ",دعم المشروعات البحثية,مسؤوليات,0.531107664
ما هي الإجراءات التي يتخذها مجلس العمداء بخصوص التعاون مع الجهات الخارجية؟,يضع أسس التعاون والتنسيق مع الجهات المعنية بالبحث العلمي,التعاون مع الجهات الأخرى,مسؤوليات,0.53231138
ما هي الإجراءات التي يتعين على الموفد اتباعها إذا أراد إنهاء بعثته مبكراً؟,"يجب على الموفد إبلاغ الجامعة كتابياً، استيفاء الشروط المتعلقة بالعودة، وربما تحمل جزء من التكاليف أو العقوبات وفقاً للعقد ","إنهاء البعثة مبكراً، الإجراءات","قانونية، إدارية",0.52973479
ما هي الإجراءات التي يتعين على الموفد اتخاذها في حال رغبة المؤسسة الموفدة في فصله من الدراسة؟,تنهي بعثة الموفد بقرار من الجهة المانحة إذا اتخذت المؤسسة قراراً بفصله من الدراسة واقتنع الرئيس بسلامة الإجراء ,"فصل من الدراسة، إنهاء البعثة","قانونية، إدارية",0.529954433
ما هي الإجراءات التي يتم اتباعها إذا تأخر الطالب في دفع رسوم التأمين الصحي؟,يبدأ التأمين من تاريخ دفع رسم الاشتراك ,تأخير دفع التأمين,تعليم,0.531724751
ما هي الإجراءات التي يتم اتباعها عند وجود خلل في الموازم؟,"عند وجود خلل في الموازم، يتم اتخاذ القرار بالإصلاح أو الإتلاف وفقًا لما تراه اللجنة المختصة ",خلل في الموازم,إجراءات,0.530962586
ما هي الإجراءات التي يتم اتخاذها إذا تمت مخالفة الأنظمة التعليمية؟,تتم فرض عقوبات تأديبية على الطالب المخالف مثل التنبيه أو الفصل المؤقت ,مخالفة الأنظمة,تعليم,0.529369175
ما هي الإجراءات التي يتم اتخاذها إذا وجد خلاف حول نتائج مشروع بحث علمي؟,يتم مراجعته من قبل مجلس البحث العلمي لتقييم مصداقية النتائج واتخاذ القرار المناسب,خلاف حول النتائج,إجراءات تنفيذية,0.53151381
ما هي الإجراءات التي يتم اتخاذها عند اكتشاف عطل في اللوازم المخزنة؟,يتم اتخاذ الإجراءات اللازمة لتصحيح الوضع حسب أحكام نظام اللوازم,إجراءات الصيانة,إجراءات تنفيذية,0.53194499
ما هي الإجراءات التي يتم اتخاذها عندما لا يشمل نص التعليمات علاجًا معينًا؟,"في الحالات التي لم يرد عليها نص في التعليمات، توصي لجنة التأمين الصحي للرئيس لاتخاذ القرار المناسب بشأنها ",الحالات غير الواردة,أحكام عامة,0.530175686
ما هي الإجراءات التي يتم اتخاذها عند نقل أمين المستودع؟,"عند نقل أمين المستودع، يتم تسميم الموازم المنقولة وفق قوائم جرد مطابقة لقيود المستودع، ويتم توقيعها من الطرفين ويتم مصادقتها من الرئيس المباشر ",نقل أمين المستودع,إجراءات,0.531071246
ما هي الإجراءات التي يجب أن يتبعها الطالب إذا أراد الانسحاب من كلية بالكامل؟,يجب تقديم طلب انسحاب رسمي إلى عمادة الكلية ,"انسحاب، كلية، طلب",قوانين أكاديمية,0.53071636
ما هي الإجراءات التي يجب أن يتبعها الطالب إذا اكتشف خطأ في علاماته؟,عليه تقديم طلب مراجعة للعلامة خلال الأسبوعين التاليين ,"خطأ، علامة، مراجعة",قوانين أكاديمية,0.530176878
ما هي الإجراءات التي يجب أن يتبعها الطالب بعد التقدم بطلب مراجعة علامته؟,"يجب على الطالب دفع مبلغ دينارين عن كل طلب مراجعة، ويجب أن يتم اعتماد النتيجة إلكترونيًا من عميد الكلية خلال أسبوعين ","مراجعة العلامة، دفع الرسوم",تعليم,0.528726935
ما هي الإجراءات التي يجب أن يتبعها الطالب عند مناقشة رسالته؟,"يجب على الطالب عرض ملخص لرسالته، ثم يغادر الأهل والزوار قاعة المناقشة، وتتم المناقشة تحت إشراف رئيس لجنة المناقشة ",إجراءات المناقشة,إجراءات المناقشة,0.529929101
ما هي الإجراءات التي يجب أن يتبعها الطالب قبل تخرجه؟,يجب على الطالب تعبئة نموذج خاص في قسم التخصص قبل أسبوع من إعلان نتائج الفصل السابق للتخرج ,إجراءات التخرج,تعليم,0.529827476
ما هي الإجراءات التي يجب أن يتبعها الطالب للانتقال إلى تخصص آخر داخل الجامعة؟,"يجب أن يكون هناك مقعد شاغر في التخصص المرغوب فيه، وتقديم طلب الانتقال، ويتم البت في الطلب من قبل لجنة خاصة ","الانتقال، التخصص، الإجراءات",تعليم,0.529436946
ما هي الإجراءات التي يجب اتباعها إذا أراد الطالب الانسحاب من الجامعة؟,"يجب على الطالب التقدم بطلب على النموذج المعتمد إلى وحدة القبول والتسجيل، وتثبت ملاحظة ""منسحب من الجامعة"" في سجله الأكاديمي ",الانسحاب من الجامعة,الانسحاب,0.530954659
ما هي الإجراءات التي يجب اتباعها إذا تعذر على الموفد تقديم رهن عقاري؟,"إذا تعذر على الموفد تقديم رهن عقاري، يجب عليه تقديم كفالة من شخص واحد أو أكثر يكفل بالتضامن والتكافل لتنفيذ الشروط وتعويض الجامعة عن النفقات المصروفة ","تقديم الكفالة، الرهن العقاري",نظام البعثات العلمية,0.529535234
ما هي الإجراءات التي يجب اتباعها عند تقديم الطالب لطلب البعثة العلمية؟,"يجب على الطالب تقديم طلب للبعثة العلمية مع استيفاء جميع الشروط المطلوبة، مثل الجنسية، اللياقة الصحية، المؤهلات العلمية، والمدة الزمنية في الخدمة الفعلية، بالإضافة إلى موافقة مجلس العمداء بناءً على التنسيب والتوصيات ","تقديم الطلب، شروط البعثة",نظام البعثات العلمية,0.52996242
ما هي الإجراءات التي يجب اتباعها عند رغبة الطالب في الحصول على دبلوم الدراسات العليا بدلاً من الماجستير؟,"يجب على الطالب التقدم خطيًا إلى قسمه مبدياً عدم رغبته في مواصلة دراسة الماجستير بعد دراسته ما لا يقل عن 30 ساعة معتمدة، والاكتفاء بالحصول على شهادة دبلوم الدراسات العليا بناءً على تنسيب لجنة الكلية وتوصية لجنة القسم وقرار المجلس ","الحصول على الدبلوم، الإجراءات",شروط منح الشهادات,0.529054761
ما هي الإجراءات التي يجب اتباعها عند رغبة الطالب في عدم مواصلة دراسة الماجستير؟,"يجب على الطالب التقدم خطيًا إلى قسمه مبدياً عدم رغبته في مواصلة دراسة الماجستير بعد دراسته ما لا يقل عن 30 ساعة معتمدة، والاكتفاء بالحصول على شهادة دبلوم الدراسات العليا بناءً على تنسيب لجنة الكلية وتوصية لجنة القسم وقرار المجلس ","عدم مواصلة الدراسة، دبلوم الدراسات العليا",شروط منح الشهادات,0.529054761
ما هي الإجراءات التي يجب اتباعها لإنهاء بعثة الموفد بسبب نشاط سياسي مخالف؟,تنهي بعثة الموفد بقرار من الرئيس إذا ثبت قيامه بنشاط سياسي يتنافى مع سياسة المملكة ومصالحها ,"إنهاء البعثة، النشاط السياسي","قانونية، أمنية",0.5299896
ما هي الإجراءات التي يجب اتباعها لتقديم تقرير الممتحن الخارجي؟,يجب على الممتحن الخارجي كتابة تقرير تفصيلي عن المناقشة وعرضه على عميد البحث العلمي والدراسات العليا وفق النموذج المعتمد لذلك ,"تقرير الممتحن الخارجي، الإجراءات",إجراءات المناقشة,0.530603707
ما هي الإجراءات التي يجب اتباعها لتقديم كفالة من شخص ثالث؟,"يجب على الموفد تقديم كفالة من شخص كامل أو أكثر يكفل بالتضامن والتكافل لتنفيذ الشروط وتعويض الجامعة عن النفقات المصروفة، وفقًا للمادة (9) من النظام، بما في ذلك تغطية جميع المبالغ والنفقات المرتبطة بالإيفاد ","تقديم الكفالة، الشخص الثالث",نظام البعثات العلمية,0.529906988
ما هي الإجراءات التي يجب اتخاذها إذا تعرض الموظف لإصابة أثناء العمل؟,"يجب تقديم تقرير طبي من اللجنة الطبية، ومن ثم تحديد نسبة التعويض بناءً على الإصابة ",إصابة أثناء العمل,تعليم,0.529297292
