Question,Answer
ما الاعتبارات التي تأخذها اللجنة عند تخصيص السكن؟,"الحاجة، تاريخ الطلب، والظروف العائلية."
هل تأخذ اللجنة الظروف العائلية بعين الاعتبار عند تخصيص السكن؟,نعم.
ما الذي يجب على طالب السكن فعله للحصول على سكن؟,تعبئة نموذج طلب السكن المعد لهذه الغاية.
ما هي الخطوة الأولى لتقديم طلب السكن؟,تعبئة نموذج الطلب.
كيف يتم إبلاغ الطالب بالموافقة على طلب السكن؟,يبلغ خلال شهر من تقديم الطلب.
ما هي المعلومات التي تشملها الموافقة على طلب السكن؟,"رقم المسكن، الأجرة الشهرية، تاريخ بدء الإيجار، مدة الشغل، وأية أمور أخرى."
ما الذي تحدده الموافقة على السكن؟,"رقم المسكن، مدة الإيجار، الأجرة الشهرية."
كيف يتم دفع بدل الإيجار للمستأجر؟,يحسم شهريًا من راتبه أو يُستوفى منه مباشرة.
هل يجب على المستأجر إشعار الجامعة قبل إخلاء السكن؟,"نعم، بثلاثة أشهر على الأقل."
ماذا يحدث إذا أخلى المستأجر السكن دون إشعار مسبق؟,يدفع أجرة شهر إضافي.
من يتحمل تكلفة الإيجار إذا لم يتم إشعار الجامعة بالإخلاء؟,المستأجر.
كيف يتم تسليم السكن للمستأجر؟,بحالة جيدة وصالحة للسكن.
من المسؤول عن صيانة السكن؟,الجامعة.
ما الذي يجب ذكره في محضر تسليم السكن؟,أية نواقص أو عيوب موجودة في السكن.
من يقوم بالصيانة اللازمة للسكن؟,الجامعة.
ماذا يوقع المستأجر مع الجامعة عند استلام السكن؟,اتفاقية خاصة بالمسكن.
ما هي التزامات المستأجر تجاه السكن؟,"المحافظة عليه، عدم تأجيره للغير، دفع قيمة المواد المستهلكة."
هل يمكن للمستأجر تأجير المسكن للغير؟,لا.
من يتحمل تكلفة الإصلاحات الناتجة عن سوء الاستعمال؟,المستأجر.
هل يمكن للمستأجر الانتقال من مسكن إلى آخر؟,"نعم، إذا كان المسكن لا يناسب حجم عائلته وبعد موافقة الرئيس."
من يتحمل أجور النقل عند الانتقال لمسكن آخر؟,المستأجر إذا تم الانتقال بناءً على طلبه.
هل يمكن تخصيص المسكن لأكثر من شخص غير متزوج؟,"نعم، يجوز تخصيص السكن لأكثر من مستأجر غير متزوج."
متى يجب على المستأجر إخلاء السكن؟,"عند انتهاء عمله، انتهاء مدة الإيجار، أو بناءً على طلبه."
ماذا يحدث إذا انتهى عمل المستأجر في الجامعة؟,ينتهي حقه في شغل المسكن.
هل يمكن لأسرة المستأجر البقاء في المسكن بعد انتهاء عمله؟,"نعم، بقرار من الرئيس لأسباب إنسانية."
هل يتم إعفاء المستأجر من بدل الإيجار إذا أعيد تأجير المسكن؟,"نعم، اعتبارًا من تاريخ إعادة شغل المسكن."
ماذا يحدث عند إخلاء المستأجر للمسكن؟,تقوم لجنة بتسلم المسكن وجرد محتوياته.
من يحدد قيمة التلفيات الناتجة عن سوء الاستخدام؟,لجنة مختصة يشكلها الرئيس.
من يتحمل تكلفة التلفيات في السكن؟,المستأجر.
هل قرارات اللجنة ملزمة؟,"نعم، للطرفين."
من يبت في القضايا المتعلقة بتطبيق التعليمات؟,الرئيس.
إلى من يتم رفع الاعتراضات على هذه التعليمات؟,الرئيس.
من يقرر في القضايا التي لم تُذكر في التعليمات؟,الرئيس.
ما هي المعلومات التي يتضمنها نموذج طلب السكن؟,البيانات المطلوبة لتحديد أهلية المتقدم.
كيف تبلغ الجامعة المتقدم بنتيجة طلب السكن؟,خلال شهر من تقديم الطلب.
من يتحمل تكلفة الإيجار عند الإخلاء المفاجئ؟,المستأجر.
هل تشمل اتفاقية السكن التزامات محددة على المستأجر؟,"نعم، مثل المحافظة على السكن."
هل يمكن للمستأجر الانتقال لمسكن آخر؟,"نعم، إذا كان لا يناسب حجم عائلته."
ماذا يحدث إذا استمر المستأجر في السكن بعد انتهاء عمله؟,ينتهي حقه في شغل المسكن.
هل يجب إشعار الجامعة عند الإخلاء؟,"نعم، قبل ثلاثة أشهر."
ما هو الإجراء الذي يجب أن يتبعه المستأجر عند انتهاء عمله في الجامعة؟,إخلاء السكن وتسليمه للجامعة في مدة أقصاها نهاية الشهر التالي لانتهاء عمله.
من يقرر استمرار أسرة المستأجر في شغل المسكن بعد انتهاء عمله؟,الرئيس.
ما هي المدة التي يجب أن يعلم فيها المستأجر الجامعة بنيته في إخلاء السكن؟,ثلاثة أشهر.
هل يحق للمستأجر الانتقال لمسكن أكبر إذا زاد حجم عائلته؟,"نعم، بموافقة الرئيس."
من يتحمل تكلفة النقل عند تغيير المسكن؟,المستأجر إذا كان النقل بناءً على طلبه.
ما هو الغرض الأساسي من استخدام المسكن الجامعي؟,السكن فقط.
هل يمكن للمستأجر استخدام المسكن لأغراض تجارية؟,"لا، لا يجوز."
من المسؤول عن تسليم السكن للمستأجر بحالة جيدة؟,الجامعة.
من يقرر قيمة التلفيات الناتجة عن سوء الاستخدام؟,لجنة مختصة يشكلها الرئيس.
ما هي العقوبات المترتبة على سوء استخدام المسكن؟,تحمل تكلفة التلفيات التي يتم تقديرها من اللجنة.
ما هو دور اللجنة عند إخلاء المسكن؟,تسلم المسكن وجرد محتوياته وتقدير التلفيات.
هل قرارات اللجنة المختصة بتقييم التلفيات قابلة للطعن؟,"لا، قراراتها ملزمة للطرفين."
من يتحمل تكلفة المواد المستهلكة في المسكن؟,المستأجر.
هل يحق للمستأجر التنازل عن المسكن لشخص آخر؟,"لا، لا يجوز التنازل عن المسكن أو تأجيره للغير."
ما هي الالتزامات المتعلقة بصيانة السكن؟,"المستأجر يتحمل تكلفة الإصلاحات الناتجة عن سوء الاستخدام، والجامعة مسؤولة عن الصيانة الأساسية."
ما الذي يحدث إذا لم يُعلم المستأجر الجامعة قبل إخلاء السكن؟,يدفع أجرة شهر إضافي.
هل يمكن للمستأجر تجديد عقد الإيجار بشكل تلقائي؟,"لا، تجديد العقد يخضع لشروط الجامعة."
هل يُسمح باستخدام المسكن لأي أغراض غير السكن؟,"لا، المسكن مخصص للسكن فقط."
ماذا يحدث إذا لم يسلم المستأجر المسكن في الوقت المحدد؟,يتم تحميله التكاليف الناتجة عن التأخير.
هل يمكن للرئيس التدخل في حالات استثنائية تتعلق بالسكن؟,"نعم، يملك الرئيس صلاحيات اتخاذ قرارات استثنائية."
هل يمكن للمستأجر إعادة تأجير المسكن لشخص آخر؟,"لا، هذا ممنوع تمامًا."
ما هي المادة التي تتحدث عن تأجير السكن للعاملين في الجامعة؟,المادة 8.
هل يمكن تأجير السكن لغير العاملين في الجامعة؟,"نعم، في حالات خاصة يقدرها الرئيس."
من يقوم بتخصيص وتأجير المساكن في الجامعة؟,اللجنة.
ما هي الاعتبارات التي تأخذها اللجنة بعين الاعتبار عند تخصيص السكن؟,"حاجة الجامعة للمستأجر، وتاريخ تقديم الطلب، والظروف العائلية للمستأجر."
ما هي المادة التي تتحدث عن إجراءات طلب السكن؟,المادة 10.
كيف يقوم طالب السكن بتقديم طلبه؟,تعبئة نموذج طلب السكن.
ما هي المدة التي يستغرقها الرد على طلب السكن؟,شهر من وصول الطلب.
ما هي المعلومات التي تبلغ للموافق عليهم في طلب السكن؟,"رقم المسكن، والأجرة الشهرية، وتاريخ بدء الإيجار، ومدة شغل السكن، وغير ذلك."
كيف يتم استيفاء بدل الإيجار من المستأجر؟,يحسم من راتبه شهريًا.
ما هي المدة التي يجب على المستأجر إبلاغ الجامعة قبل إخلاء السكن؟,ثلاثة أشهر على الأقل.
ما هي العقوبة في حال عدم إبلاغ المستأجر الجامعة قبل إخلاء السكن؟,دفع أجرة شهر إضافي.
ما هي حالة السكن عند تسليمه للمستأجر؟,بحالة جيدة وصالحة للسكن.
هل يتم ذكر أي نواقص أو عيوب في السكن عند التسليم؟,"نعم، في محضر التسليم."
من يقوم بالصيانة اللازمة للسكن ومحتوياته؟,الجامعة.
ما هي المادة التي تتحدث عن الاتفاقية الخاصة بالمسكن؟,المادة 13.
ما هي الالتزامات التي يلتزم بها المستأجر وفقًا للاتفاقية؟,"المحافظة على المسكن ومحتوياته، وعدم شغل المسكن إلا لأفراد أسرته، وعدم التصرف بمحتوياته، ودفع قيمة المواد المستهلكة، وعدم استخدام المسكن لغير أغراض السكن، وغير ذلك."
هل يمكن للمستأجر الانتقال من مسكن إلى آخر؟,"نعم، ولكن بشروط معينة."
ما هي الشروط للانتقال من مسكن إلى آخر؟,"أن يكون المسكن المخصص لا يتناسب وحجم عائلته، وموافقة الرئيس."
من يتحمل أجور النقل في حال انتقال المستأجر من مسكن إلى آخر؟,المستأجر إذا تم ذلك بناء على طلبه.
هل يمكن تخصيص مسكن لأكثر من مستأجر غير متزوج؟,"نعم، وفقًا للمادة 14."
متى يجب على المستأجر إخلاء المسكن؟,"عند انتهاء عمله في الجامعة، أو انتهاء مدة عقد الإيجار، أو بناء على طلبه."
ما هي المدة التي يجب على المستأجر تسليم المسكن عند انتهاء عمله؟,نهاية الشهر الذي يلي تاريخ انتهاء عمله.
هل يمكن لأسرة المستأجر الاستمرار في شغل المسكن عند انتهاء عمله؟,"نعم، بقرار من الرئيس."
ما هي الحالات التي يمكن فيها لأسرة المستأجر الاستمرار في شغل المسكن؟,"إذا كان المستأجر مبعوثًا أو موفدًا أو منتدبًا للعمل خارج مركز عمله، أو مجازًا، أو لأسباب إنسانية."
من يقوم بتسلم المسكن عند إخلاء المستأجر له؟,لجنة من الجهات ذات العلاقة.
ما هي مهام اللجنة عند تسلم المسكن؟,"جرد محتوياته، وتقدير قيمة أي تلف أو نقصان، وتحديد المسؤولية."
هل تقديرات اللجنة ملزمة للطرفين؟,"نعم، وفقًا للمادة 16."
إلى من تحال القضايا والاعتراضات المتعلقة بتأجير السكن؟,إلى الرئيس للبت فيها.
ما هي المادة التي تتحدث عن حالات تأجير السكن للعاملين؟,المادة 8 مرة أخرى.
هل هناك أي قيود على تأجير السكن لغير العاملين؟,"نعم، في حالات خاصة يقدرها الرئيس."
ما هي المادة التي تتحدث عن تخصيص المساكن؟,المادة 9.
ما هي الاعتبارات التي تؤخذ بعين الاعتبار عند تخصيص المساكن؟,"حاجة الجامعة، وتاريخ الطلب، والظروف العائلية."
كيف يتم تقديم طلب السكن؟,تعبئة نموذج طلب السكن.
ما هي المدة التي يستغرقها الرد على طلب السكن؟,شهر من تقديم الطلب.
ما هي المعلومات التي تبلغ للمستأجر عند الموافقة على طلبه؟,"رقم المسكن، والأجرة، وتاريخ البدء، ومدة الإيجار، وغير ذلك."
كيف يتم استيفاء بدل الإيجار من المستأجر؟,حسم شهري من الراتب.
ما هي المدة التي يجب على المستأجر إبلاغ الجامعة قبل إخلاء السكن؟,ثلاثة أشهر.
ما هي العقوبة في حال عدم إبلاغ المستأجر الجامعة قبل إخلاء السكن؟,دفع أجرة شهر إضافي.
ما هي حالة السكن عند تسليمه للمستأجر؟,جيد وصالح للسكن.
هل يتم ذكر أي نواقص أو عيوب في السكن عند التسليم؟,"نعم، في محضر التسليم."
من يقوم بالصيانة اللازمة للسكن؟,الجامعة.
ما هي المادة التي تتحدث عن الاتفاقية الخاصة بالمسكن؟,المادة 13 مرة أخرى.
ما هي الالتزامات التي يلتزم بها المستأجر وفقًا للاتفاقية؟,"المحافظة على المسكن، وعدم شغل المسكن إلا لأفراد أسرته، وعدم التصرف بمحتوياته، وغير ذلك."
هل يمكن للمستأجر الانتقال من مسكن إلى آخر؟,"نعم، بشروط معينة."
ما هي الشروط للانتقال من مسكن إلى آخر؟,"موافقة الرئيس، وأن يكون المسكن غير مناسب لحجم العائلة."
من يتحمل أجور النقل في حال انتقال المستأجر؟,المستأجر إذا تم ذلك بناء على طلبه.
هل يمكن تخصيص مسكن لأكثر من مستأجر غير متزوج؟,"نعم، وفقًا للمادة 14."
متى يجب على المستأجر إخلاء المسكن؟,"عند انتهاء عمله، أو انتهاء مدة الإيجار، أو بناء على طلبه."
ما هي المدة التي يجب على المستأجر تسليم المسكن عند انتهاء عمله؟,نهاية الشهر التالي.
هل يمكن لأسرة المستأجر الاستمرار في شغل المسكن عند انتهاء عمله؟,"نعم، بقرار من الرئيس."
ما هي الحالات التي يمكن فيها لأسرة المستأجر الاستمرار في شغل المسكن؟,"المبعوثون، والموفدون، والمنتدبون، والمجازون، ولأسباب إنسانية."
ما هي المادة التي تتحدث عن تأجير السكن للعاملين في الجامعة؟,المادة 8.
هل يمكن تأجير السكن لغير العاملين في الجامعة؟,"نعم، في حالات خاصة يقدرها الرئيس."
من يقوم بتخصيص وتأجير المساكن في الجامعة؟,اللجنة.
ما هي الاعتبارات التي تأخذها اللجنة بعين الاعتبار عند تخصيص السكن؟,"حاجة الجامعة للمستأجر، وتاريخ تقديم الطلب، والظروف العائلية للمستأجر."
ما هي المادة التي تتحدث عن إجراءات طلب السكن؟,المادة 10.
كيف يقوم طالب السكن بتقديم طلبه؟,تعبئة نموذج طلب السكن.
ما هي المدة التي يستغرقها الرد على طلب السكن؟,شهر من وصول الطلب.
ما هي المعلومات التي تبلغ للموافق عليهم في طلب السكن؟,"رقم المسكن، والأجرة الشهرية، وتاريخ بدء الإيجار، ومدة شغل السكن، وغير ذلك."
كيف يتم استيفاء بدل الإيجار من المستأجر؟,يحسم من راتبه شهريًا.
ما هي المدة التي يجب على المستأجر إبلاغ الجامعة قبل إخلاء السكن؟,ثلاثة أشهر على الأقل.
ما هي العقوبة في حال عدم إبلاغ المستأجر الجامعة قبل إخلاء السكن؟,دفع أجرة شهر إضافي.
ما هي حالة السكن عند تسليمه للمستأجر؟,بحالة جيدة وصالحة للسكن.
هل يتم ذكر أي نواقص أو عيوب في السكن عند التسليم؟,"نعم، في محضر التسليم."
من يقوم بالصيانة اللازمة للسكن ومحتوياته؟,الجامعة.
ما هي المادة التي تتحدث عن الاتفاقية الخاصة بالمسكن؟,المادة 13.
ما هي الالتزامات التي يلتزم بها المستأجر وفقًا للاتفاقية؟,"المحافظة على المسكن ومحتوياته، وعدم شغل المسكن إلا لأفراد أسرته، وعدم التصرف بمحتوياته، ودفع قيمة المواد المستهلكة، وعدم استخدام المسكن لغير أغراض السكن، وغير ذلك."
هل يمكن للمستأجر الانتقال من مسكن إلى آخر؟,"نعم، ولكن بشروط معينة."
ما هي الشروط للانتقال من مسكن إلى آخر؟,"أن يكون المسكن المخصص لا يتناسب وحجم عائلته، وموافقة الرئيس."
من يتحمل أجور النقل في حال انتقال المستأجر من مسكن إلى آخر؟,المستأجر إذا تم ذلك بناء على طلبه.
هل يمكن تخصيص مسكن لأكثر من مستأجر غير متزوج؟,"نعم، وفقًا للمادة 14."
متى يجب على المستأجر إخلاء المسكن؟,"عند انتهاء عمله في الجامعة، أو انتهاء مدة عقد الإيجار، أو بناء على طلبه."
ما هي المدة التي يجب على المستأجر تسليم المسكن عند انتهاء عمله؟,نهاية الشهر الذي يلي تاريخ انتهاء عمله.
هل يمكن لأسرة المستأجر الاستمرار في شغل المسكن عند انتهاء عمله؟,"نعم، بقرار من الرئيس."
ما هي الحالات التي يمكن فيها لأسرة المستأجر الاستمرار في شغل المسكن؟,"إذا كان المستأجر مبعوثًا أو موفدًا أو منتدبًا للعمل خارج مركز عمله، أو مجازًا، أو لأسباب إنسانية."
من يقوم بتسلم المسكن عند إخلاء المستأجر له؟,لجنة من الجهات ذات العلاقة.
ما هي مهام اللجنة عند تسلم المسكن؟,"جرد محتوياته، وتقدير قيمة أي تلف أو نقصان، وتحديد المسؤولية."
هل تقديرات اللجنة ملزمة للطرفين؟,"نعم، وفقًا للمادة 16."
إلى من تحال القضايا والاعتراضات المتعلقة بتأجير السكن؟,إلى الرئيس للبت فيها.
ما هي المادة التي تتحدث عن حالات تأجير السكن للعاملين؟,المادة 8 مرة أخرى.
هل هناك أي قيود على تأجير السكن لغير العاملين؟,"نعم، في حالات خاصة يقدرها الرئيس."
ما هي المادة التي تتحدث عن تخصيص المساكن؟,المادة 9.
ما هي الاعتبارات التي تؤخذ بعين الاعتبار عند تخصيص المساكن؟,"حاجة الجامعة، وتاريخ الطلب، والظروف العائلية."
كيف يتم تقديم طلب السكن؟,تعبئة نموذج طلب السكن.
ما هي المدة التي يستغرقها الرد على طلب السكن؟,شهر من تقديم الطلب.
ما هي المعلومات التي تبلغ للمستأجر عند الموافقة على طلبه؟,"رقم المسكن، والأجرة، وتاريخ البدء، ومدة الإيجار، وغير ذلك."
كيف يتم استيفاء بدل الإيجار من المستأجر؟,حسم شهري من الراتب.
ما هي المدة التي يجب على المستأجر إبلاغ الجامعة قبل إخلاء السكن؟,ثلاثة أشهر.
ما هي العقوبة في حال عدم إبلاغ المستأجر الجامعة قبل إخلاء السكن؟,دفع أجرة شهر إضافي.
ما هي حالة السكن عند تسليمه للمستأجر؟,جيد وصالح للسكن.
هل يتم ذكر أي نواقص أو عيوب في السكن عند التسليم؟,"نعم، في محضر التسليم."
من يقوم بالصيانة اللازمة للسكن؟,الجامعة.
ما هي المادة التي تتحدث عن الاتفاقية الخاصة بالمسكن؟,المادة 13 مرة أخرى.
ما هي الالتزامات التي يلتزم بها المستأجر وفقًا للاتفاقية؟,"المحافظة على المسكن، وعدم شغل المسكن إلا لأفراد أسرته، وعدم التصرف بمحتوياته، وغير ذلك."
هل يمكن للمستأجر الانتقال من مسكن إلى آخر؟,"نعم، بشروط معينة."
ما هي الشروط للانتقال من مسكن إلى آخر؟,"موافقة الرئيس، وأن يكون المسكن غير مناسب لحجم العائلة."
من يتحمل أجور النقل في حال انتقال المستأجر؟,المستأجر إذا تم ذلك بناء على طلبه.
هل يمكن تخصيص مسكن لأكثر من مستأجر غير متزوج؟,"نعم، وفقًا للمادة 14."
متى يجب على المستأجر إخلاء المسكن؟,"عند انتهاء عمله، أو انتهاء مدة الإيجار، أو بناء على طلبه."
ما هي المدة التي يجب على المستأجر تسليم المسكن عند انتهاء عمله؟,نهاية الشهر التالي.
هل يمكن لأسرة المستأجر الاستمرار في شغل المسكن عند انتهاء عمله؟,"نعم، بقرار من الرئيس."
ما هي الغايات التي يُسمح بتأجير سيارات الجامعة لها؟,"الرحلات الجامعية، البحوث العلمية، نقل العاملين، الإسعاف، واستعمال المؤسسات الرسمية أو غير الرسمية."
هل يمكن تأجير سيارات الجامعة للرحلات العلمية؟,"نعم، يُسمح بذلك للبحوث العلمية."
ما هي الجهات المسؤولة عن تنظيم الرحلات التي يمكنها استئجار سيارات الجامعة؟,"عمادة شؤون الطلبة، الكليات، المعاهد، الوحدات الإدارية، ونادي الجامعة."
هل يمكن تأجير سيارات الإسعاف؟,"نعم، يُسمح بتأجير سيارات الإسعاف للإسعاف الطبي."
هل يُسمح بتأجير سيارات الجامعة للمؤسسات الرسمية؟,"نعم، بعد موافقة رئيس الجامعة."
هل يمكن استخدام سيارات الجامعة لنقل العاملين؟,"نعم، حسب مقتضيات العمل."
من يمنح الموافقة على تأجير سيارات الجامعة للمؤسسات غير الرسمية؟,رئيس الجامعة.
هل يمكن تأجير سيارات الجامعة لأغراض شخصية؟,"لا، لا يُسمح بذلك."
ما هي شروط استخدام سيارات الجامعة للإسعاف؟,يتم عن طريق تأجير سيارات الإسعاف.
ما هو دور الرئيس في تأجير سيارات الجامعة؟,الموافقة على التأجير للمؤسسات الرسمية وغير الرسمية.
ما هي الغايات التي يمكن تأجير مرافق الجامعة لها؟,"الأغراض العلمية، الثقافية، الفنية، الرياضية، أو غيرها بما لا يتعارض مع مصلحة الجامعة."
هل يُسمح باستخدام مرافق الجامعة لأغراض شخصية؟,"لا، لا يُسمح بذلك."
من يحدد بدل استئجار القاعات والملاعب؟,الرئيس بناءً على تنسيب اللجنة.
هل يمكن تأجير ملاعب الجامعة للنشاطات الثقافية؟,"نعم، طالما أنها لا تتعارض مع مصلحة الجامعة."
ما هي المدة المطلوبة لتقديم طلب استئجار المرافق؟,ثلاثة أسابيع قبل موعد النشاط.
من المسؤول عن الموافقة على طلب استئجار مرافق الجامعة؟,رئيس الجامعة.
هل يمكن للرئيس تجاوز شرط مدة تقديم الطلب؟,"نعم، في حالات خاصة يقدرها."
هل يجب الحصول على موافقة الجهات الحكومية لاستئجار مرافق الجامعة؟,"نعم، إذا كانت الموافقة ضرورية للنشاط."
ما هي الجهات المخولة بطلب استئجار مرافق الجامعة؟,"أي جهة ترغب بإقامة نشاط علمي، ثقافي، فني، أو رياضي."
ما هو الهدف الأساسي من تأجير مرافق الجامعة؟,دعم الأنشطة التي تحقق أهداف الجامعة دون الإضرار بمصلحتها.
من المسؤول عن استئجار الأموال المنقولة وغير المنقولة للجامعة؟,اللجنة.
هل قرارات اللجنة المتعلقة بالاستئجار نهائية؟,"لا، تخضع لتصديق الرئيس."
ما هو الهدف من استئجار الأموال المنقولة وغير المنقولة؟,تحقيق مصلحة الجامعة.
كيف يتم إبرام عقود استئجار الأموال للجامعة؟,بموجب عقد يحدد التفاصيل وقيمة الإيجار.
ما هي الشروط التي يجب تضمينها في عقد استئجار الأموال؟,جميع التفاصيل المتعلقة بالأموال وقيمة الإيجار وكيفية تأديته وأية شروط أخرى.
من يتحقق من قرارات الاستئجار الصادرة عن اللجنة؟,رئيس الجامعة.
ما هي الجهات التي يمكن استئجار الأموال منها؟,"الأشخاص، المؤسسات الرسمية أو غير الرسمية، أو أي هيئة أخرى."
هل يحق للجنة استئجار الأموال بأي طريقة؟,"نعم، بما يحقق مصلحة الجامعة."
هل يمكن تعديل عقود استئجار الأموال بعد توقيعها؟,غير مذكور صراحة في النص.
من يبرم عقود الاستئجار مع المؤجرين؟,الجامعة.
هل يمكن للجامعة إنهاء أي عقد تأجير بموجب هذه التعليمات؟,"نعم، بإرادتها المنفردة."
هل يحق للمتعاقد الاعتراض إذا أنهت الجامعة العقد؟,"لا، ليس له الحق في الاعتراض أو المطالبة بالتعويض."
متى يمكن للجامعة وضع اليد على عقار مؤجر؟,عند انتهاء العقد أو إنهائه من قبل الجامعة.
من يملك صلاحية تفسير النصوص غير الواضحة في التعليمات؟,المجلس.
ما هي الجهة المسؤولة عن تطبيق التعليمات؟,رئيس الجامعة والعمداء والمدراء المعنيون.
هل يمكن للجامعة وضع اليد على الأموال المؤجرة؟,"نعم، إذا اقتضت المصلحة ذلك."
ماذا يحدث إذا كان هناك تضارب بين هذه التعليمات وتعليمات سابقة؟,تلغى التعليمات السابقة.
هل هذه التعليمات ملزمة لجميع الأطراف؟,نعم.
هل يمكن تعديل التعليمات لاحقاً؟,"غير مذكور صراحة، لكن التعليمات الحالية تلغي السابقة."
من يُبت في القضايا التي لم يرد فيها نص؟,المجلس.
ما هي الخطوة الأولى لاستئجار مرفق في الجامعة؟,تقديم طلب للرئيس.
هل يمكن تأجير مرافق الجامعة للفعاليات الرياضية؟,نعم.
ما هي الفترة الزمنية المناسبة لتقديم طلب استئجار مرافق الجامعة؟,ثلاثة أسابيع.
هل يجب تحديد قيمة الإيجار قبل الموافقة؟,"نعم، يتم تحديدها من قبل الرئيس بناءً على توصيات اللجنة."
من يتحمل مسؤولية إبرام عقود التأجير؟,الجامعة.
هل يمكن تأجير مرافق الجامعة لأكثر من جهة في نفس الوقت؟,"غير مذكور، لكن يعتمد على توفر المرافق."
هل يجب توقيع عقد رسمي لكل عملية تأجير؟,نعم.
ما هي المصلحة التي تحققها الجامعة من هذه التعليمات؟,تنظيم استخدام مواردها وزيادة فعاليتها.
هل يجوز استخدام مرافق الجامعة لأغراض تجارية؟,"لا، إلا إذا كانت تحقق مصلحة الجامعة."
من يتحمل مسؤولية تطبيق التعليمات؟,رئيس الجامعة والعمداء والمدراء المعنيون.
ما هي الأغراض المسموح بها لتأجير سيارات الجامعة؟,"رحلات الطلبة والكليات، البحوث العلمية، نقل العاملين، الإسعاف، والمؤسسات الرسمية/غير الرسمية (بموافقة الرئيس)."
هل يمكن استئجار سيارات الجامعة لرحلات طلابية؟,نعم.
من يُسمح له بتأجير سيارات الجامعة لنقل العاملين؟,"الجامعة نفسها، حسب مقتضيات العمل."
هل يمكن تأجير سيارات إسعاف الجامعة؟,نعم.
من يوافق على تأجير سيارات الجامعة لمؤسسات خارجية؟,رئيس الجامعة.
ما هو الشرط لتأجير سيارات الجامعة لمؤسسة غير رسمية؟,موافقة رئيس الجامعة.
ما هي المرافق التي يجوز تأجيرها في الجامعة؟,"القاعات، المدرجات، الصالات، والملاعب الرياضية."
ما هي الأغراض المسموح بها لتأجير مرافق الجامعة؟,"أغراض علمية، ثقافية، فنية، رياضية، وغيرها من الأنشطة التي لا تتعارض مع مصلحة الجامعة."
هل يُسمح باستخدام مرافق الجامعة لأغراض شخصية؟,لا.
كيف تتقدم الجهة الراغبة في استئجار مرافق الجامعة بطلبها؟,بتقديم طلب للرئيس قبل ثلاثة أسابيع على الأقل.
ما هي المدة المطلوبة لتقديم طلب استئجار مرافق الجامعة؟,ثلاثة أسابيع على الأقل قبل موعد النشاط.
من يحدد بدل استئجار مرافق الجامعة؟,الرئيس.
من يقرر بدل استئجار مرافق الجامعة؟,الرئيس بناءً على تنسيب اللجنة.
هل يمكن استثناء شرط تقديم الطلب قبل ثلاثة أسابيع؟,"نعم، في حالات خاصة يقدرها الرئيس."
ما هو الشرط الإضافي لاستئجار مرافق الجامعة لإقامة نشاط يحتاج لموافقة حكومية؟,الحصول على الموافقة الحكومية قبل الموعد المحدد.
من تتولى استئجار الأموال المنقولة وغير المنقولة؟,اللجنة.
من الأشخاص أو الجهات التي يمكن استئجار الأموال منها؟,"أشخاص، مؤسسات رسمية أو غير رسمية، أو أي هيئة أو جهة."
من يوافق على قرارات اللجنة بشأن الاستئجار؟,رئيس الجامعة.
ما هي المعلومات الأساسية التي يجب أن يتضمنها عقد استئجار الأموال؟,"تفاصيل الأموال، قيمة بدل الاستئجار، كيفية تأديته، وأية شروط أخرى."
هل قرارات اللجنة للاستئجار نهائية؟,"لا، خاضعة لتصديق الرئيس."
هل للجامعة الحق في إنهاء عقد تأجير؟,"نعم، بإرادتها المنفردة، متى اقتضت مصلحتها ذلك."
هل يحق للجهة الأخرى الاعتراض على إنهاء عقد تأجير من جانب الجامعة؟,لا.
هل يحق للجهة الأخرى المطالبة بالتعويض عند إنهاء عقد تأجير من جانب الجامعة؟,لا.
ماذا يحدث عند إنهاء عقد تأجير؟,للجامعة الحق في استعادة الممتلكات.
من يبت في الأمور التي لم يرد فيها نص في هذه التعليمات؟,المجلس.
من لديه صلاحية تفسير نصوص هذه التعليمات؟,المجلس.
ما هي التعليمات التي تلغيها هذه التعليمات؟,تعليمات تأجير واستئجار واستثمار الأموال السابقة في الجامعة.
من المسؤول عن تطبيق هذه التعليمات؟,"رئيس الجامعة، العمداء، والمدراء المعنيون."
ما هو مصير القرارات أو التعليمات السابقة التي تتعارض مع هذه التعليمات؟,تُلغى.
هل يمكن للجامعة استعادة الممتلكات المأجورة بعد انتهاء العقد؟,نعم.
هل يمكن للجامعة إنهاء عقد تأجير قبل انتهاء مدته؟,"نعم، بإرادتها المنفردة."
من يملك الصلاحية النهائية في حل النزاعات المتعلقة بتفسير التعليمات؟,المجلس.
ماذا لو نشأ خلاف حول تفسير نص معين في هذه التعليمات؟,يُحال إلى المجلس للبت فيه.
من يتحمل مسؤولية تطبيق هذه التعليمات؟,"رئيس الجامعة، العمداء، والمدراء المعنيون."
ما هو الغرض من المادة 32؟,إلغاء التعليمات السابقة المتعارضة مع التعليمات الجديدة.
هل هذه التعليمات شاملة لجميع جوانب التأجير والاستئجار؟,"لا، المجلس يبت في ما لم يرد فيه نص."
ما هو دور اللجنة في عملية الاستئجار؟,تتولى استئجار الأموال وتقديم توصياتها للرئيس.
هل هناك آلية للطعن بقرارات الرئيس فيما يتعلق بهذه التعليمات؟,ليس مُنصوص عليه صراحةً في هذه المواد.
ما هي أهمية المادة 30؟,تعطي الجامعة المرونة في إنهاء العقود لحماية مصالحها.
